timestamp,open,high,low,close,volume
2023-12-04,0.0858,0.09272,0.08424,0.09199,3870254276
2023-12-05,0.09199,0.09606,0.08746,0.09443,3636846020
2023-12-06,0.09443,0.10661,0.09348,0.095,7147779510
2023-12-07,0.095,0.09837,0.09293,0.09595,2993746103
2023-12-08,0.09595,0.104,0.09565,0.10175,1991387422
2023-12-09,0.10175,0.10517,0.09721,0.09857,2268904671
2023-12-10,0.09857,0.1029,0.09668,0.10199,1390391222
2023-12-11,0.10199,0.10764,0.08871,0.0942,4787923035
2023-12-12,0.0942,0.09811,0.09126,0.09388,1797592570
2023-12-13,0.09388,0.09762,0.08976,0.09648,1612334423
2023-12-14,0.09648,0.09884,0.09311,0.09842,1485445499
2023-12-15,0.09842,0.09893,0.09232,0.09307,957755748
2023-12-16,0.09307,0.0973,0.0915,0.09714,924780079
2023-12-17,0.09714,0.09789,0.09241,0.093,851225666
2023-12-18,0.093,0.09383,0.08643,0.09217,1332261823
2023-12-19,0.09217,0.09359,0.08929,0.09029,785390814
2023-12-20,0.09029,0.09346,0.08944,0.09159,1179094212
2023-12-21,0.09159,0.09846,0.09072,0.0951,2026118049
2023-12-22,0.0951,0.09576,0.09187,0.09503,1515307573
2023-12-23,0.09503,0.09513,0.0921,0.09354,812317401
2023-12-24,0.09354,0.09498,0.09009,0.09176,1125017519
2023-12-25,0.09176,0.09567,0.09127,0.09444,751829907
2023-12-26,0.09444,0.09457,0.08646,0.09147,1190670525
2023-12-27,0.09147,0.094,0.08958,0.09377,828918045
2023-12-28,0.09377,0.09514,0.09105,0.09181,1074105030
2023-12-29,0.09181,0.09311,0.08834,0.09105,859880099
2023-12-30,0.09105,0.09153,0.08929,0.09005,392072854
2023-12-31,0.09005,0.09097,0.08802,0.08961,383354972
2024-01-01,0.08961,0.09222,0.08854,0.09211,376143857
2024-01-02,0.09211,0.09453,0.09047,0.09119,865190952
2024-01-03,0.09119,0.09226,0.07041,0.08199,2454764049
